,text,prediction
42,"@AmericanAir the flight attend made me stow iPad for landing b/c it ""has a keypad"". Travel weekly. Never had to stow. Is this new? #AA1164",neutral
43,5 days 'til @AmericanAir flies a charter w/ 25 #MedalofHonor recipients to DC for Medal of Honor Day (check out fro… https://t.co/2lqXFHGs7G,neutral
44,@AmericanAir I have a question about my seats on upcoming flight.,neutral
45,"@AmericanAir I'm DREAMING of going to BCN or TLV. I'll take you there, I promise <U+2764><U+FE0F>",negative
46,@AmericanAir after waiting for 25 mins... plus I got moved back to group 8. This wouldn't have happened if you didn't mess up first off,negative
47,"Marissa: ""We've flown @Delta about 20 times with my son and always had early boarding.""_x000D_
.@AmericanAir",negative
48,RT @AmericanAir: @MissSaintXXX Waiting on the tarmac is what we try hard to avoid and we're sorry for the extra time after arrival.,negative
49,"@AmericanAir Is this the ""extra"" legroom I paid for? My bag doesn't even fit bec of the metal blocks &amp; there's bare… https://t.co/CrsgFY2Ux5",negative
50,"Clarissa: ""We flew @Delta this week and they announce early boarding for parents with babies and strollers and cars seats.""_x000D_
.@AmericanAir",negative
51,"@AmericanAir I'll never fly with you again.  I will do everything I can to avoid flying with you in the future.  Won't comp my hotel, sad!!",negative
52,@AmericanAir Because that's why I buy plane tickets. Because I like the bus.,negative
53,"@JetBlue beat @AlaskaAir, @Delta, and @AmericanAir to having plugs that can power an @Alienware laptop.",positive
54,"Randi: ""We only fly @Delta and they always let kids on early.""_x000D_
.@AmericanAir",neutral
55,@AmericanAir I joined Twitter to tell people how bad you are! Second time missing a connecting flight in LA but somehow isn't your fault!,negative
56,Oh look @AmericanAir yet another glorious view from your window seat! Good thing we can ask for WINDOW SEATS when b… https://t.co/cAqccAfZOc,negative
57,RT @RandyStillinger: World War II veterans get a hero's welcome by the #AATeam upon arrival on @AmericanAir #SoaringValor charter flight wi…,neutral
58,Rebecca: @Delta gave us a coloring book at the gate and the TSA agents gave them stickers after we went through security! @AmericanAir,neutral
59,RT @RandyStillinger: Thanx @GarySinise 4 stopping by @AmericanAir &amp; visiting with our #AATeam the other day. Your support for our military…,neutral
60,@AmericanAir @pvm classic social media response,negative
61,@AmericanAir how do I go about getting priority boarding on new tix since i paid for it and money back for paying for good seats?,negative
62,Tracy: Letting kids on first makes it easier for ALL passengers. @AmericanAir is intentionally making their service worse for a few more $.,negative
63,"@AmericanAir Stuck in LA without my bag, without my fiancé's bag, without a reasonable way home, and no place to stay.  Never again!!",negative
64,RT @TGCDiary: The Founder &amp; CEO of @WomenThatSoar Gina Grant on #tapthemicradio w/ @gailstorm2 ! Airing 3/23 &amp; 3/25 @AmericanAir @LatinConn…,neutral
65,At LAS with a colleague waiting for our golf clubs because they missed our flight. Might not make our tee time. Unacceptable @AmericanAir,neutral
66,@AmericanAir I'm also going to start following everyone who follows you on twitter. And tweet at you every day. Every. Day.,negative
67,"Siobhan: ""The worst, @AmericanAir. And no, everyone does not [travel w kids]. In fact, most people do not have a clue how hard it is.""",negative
68,Hey @Delta you're literally the worst. You're worse than @AmericanAir and that's pretty awful.,negative
69,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
70,RT @AirfareSpot: Summer! #Washington to #Miami and vice versa for $132 R/T nonstop [@AmericanAir] https://t.co/cxEJRsSBIV,neutral
71,@AmericanAir I am going to call your customer service team everyday until you've spent more than $300 responding to me. Every. Day.,negative
72,"Aubrey: ""@AmericanAir is the absolute worst.""_x000D_
- Mom to a 3 yo",neutral
73,"Natalie: ""@AmericanAir is the WORST when traveling with kids.""",negative
74,@AmericanAir I'm not Ralph ;) That's your awesome flight attendant.,negative
75,"Catherine: ""Our son is 4 and on our last trip the @Delta agent even called us over to do so!"" @AmericanAir",negative
76,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
77,"Catherine: ""That's terrible, @AmericanAir! We travel on @Delta a lot and they ALWAYS let us pre-board.""",negative
78,"@AmericanAir you're still in terminal 4, so what changed?",neutral
79,@AmericanAir 5 am departure from AMA cancelled last minute for mechanical they knew about night before. Could have been handled better.,negative
80,@AmericanAir can you please take a look at my DM for my flight in 3 hours?,negative
81,"Diana: ""I boycott @AmericanAir. Don't fly with them with kids.""",neutral
82,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
83,"@AmericanAir When your solution to a canceled flight involves A BUS, something has gone wrong in your business plan.",negative
84,@AmericanAir y u keep delaying my flight? Cuttin it close to on my connection... #ttot #travel #,negative
85,"@AmericanAir if I'm arriving back from Paris (J Class) and transiting through DFW, what lounge will I had access to? Just the normal AC?",negative
86,"Danielle: @AmericanAir, I was 6 mo pregnant, flying alone with a 12 mo old plus her car seat. One of the last people to board. So stressful!",negative
87,@AmericanAir BTW a refund won't make my trip better I'm so glad this is my final round trip with AA!! Anything else will be better..,negative
88,@AmericanAir @British_Airways you say you value your Gold card members but I've been treated like trash... repeatedly,negative
89,"@AmericanAir I've had had flights dayed for before by as much 3 hours with various airlines. But, yesterday flight 167 was late by 7 hours!",negative
90,Again.@AmericanAir is trash and has rude check-in and @British_Airways is following a close second. Thanks for loosing my bags yet again.,negative
91,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
92,"If you don't give priority to ppl w children, @AmericanAir, DO NOT belittle the task as if it's an easy thing everyone does! #flyingwithkids",negative
93,"@AmericanAir so now you change plane types and I loose my extra leg room that I paid extra for. Unreal, how AA treats their passengers!!",negative
94,@AmericanAir us either. You'll have 8 or us in July HI bound!,negative
95,@AmericanAir sent you a DM regarding a flight in 3 hours,negative
96,RT @SBSwags: @AmericanAir please do!   She was amazing!,positive
97,"Michelle: Of course I said, ""Really? We all travel alone w 2 children?"" _x000D_
And @AmericanAir retorted w ""Yes."" _x000D_
Ridiculous!!!! #inaccessible",negative
98,RT @SBSwags: @AmericanAir amazing flight attendant in first class on the way to Dallas from Nashville this morning!,neutral
99,@AmericanAir finally got back with a stock email that gave no answers. All I want is phone call with someone who can help. Too much to ask?,negative
100,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
101,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
102,RT @RandyStillinger: Thanx @GarySinise 4 stopping by @AmericanAir &amp; visiting with our #AATeam the other day. Your support for our military…,neutral
103,RT @RandyStillinger: World War II veterans get a hero's welcome by the #AATeam upon arrival on @AmericanAir #SoaringValor charter flight wi…,neutral
104,"Michelle: @AmericanAir employee said no. Fine. But then, ""People pay to board early"" and as I was walking away, ""We all travel w children.""",negative
105,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
106,"@AmericanAir If you simcerly want that, please train your gate agents appropriately.",negative
107,@dimitrivegas @AmericanAir apparently they are not into bitly too much <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>,positive
108,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
109,Went into this with an open mind and was not disappointed @AmericanAir @BarstoolBigCat https://t.co/yMhEYYJmn4,neutral
110,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
111,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
112,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
113,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
114,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
115,"Y'all have the shittiest customer service, it's pretty sad how your employees speak to people. @AmericanAir",negative
116,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
117,RT @UPSTANDMovement: @AmericanAir is NOT a family friendly airline. Ready to hear why not? Let's go.,positive
118,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
119,@AmericanAir is NOT a family friendly airline. Ready to hear why not? Let's go.,positive
120,@MissSaintXXX @AmericanAir I'm on a 7hr layover at JFK if that is any consolation,neutral
121,@RichardGarriott on @AmericanAir magazine https://t.co/M8V493q7X4,neutral
122,@AmericanAir wish u could make my AA#558 PHX to MCO wait few mins delayed inbound AA#5879 arrives from BUR. I need to make connection <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>,negative
123,@MissSaintXXX @AmericanAir Flying is the worst!!  Give me trains or car roadies all the time!!,negative
124,RT @OpenFairSkies: Letter signed by @AmericanAir @Delta @United @WeAreALPA @AlliedPilots @swapapilots @APFAunity @afa_cwa asks @POTUS to pr…,neutral
125,Established career path - McAir Aviation student to @envoyaircareers pilot to @AmericanAir pilot.  Envoy Cadet Prog… https://t.co/5aYE6mTs90,neutral
126,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
127,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
128,RT @grondinkillian: Thank you @AmericanAir for treating me like crap and making me miss my flight. Can't wait to write reviews,negative
129,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
130,RT @AmericanAir: Just chillin' <U+2744><U+FE0F> https://t.co/1DIt5gztB3,neutral
131,"Looking forward to another great flight on @AmericanAir . They take great care of me. Give them a chance, and they'll show you too!",positive
132,RT @MissSaintXXX: I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,negative
133,@dimitrivegas @AmericanAir These only happen in Mexico <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,neutral
134,@AmericanAir crew were fine otherwise and it was a great but quick flight.,positive
135,RT @iamivanxxx: 3 flights on @AmericanAir all delayed with 2 of them having us sit on the tarmac over an hour. Causing people 2 miss their…,negative
136,@AmericanAir stepping up and feeding passengers after long delay Chicago to Phoenix.  Nice job https://t.co/fTuJMcWlRj,neutral
137,@AmericanAir Big fail. On an Biz award. Told no space made available so in coach on 1244 yet 4 Spirit FA's get reseated up front &amp; a pilot,negative
138,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
139,RT @iamivanxxx: @MissSaintXXX @AmericanAir pathetic as usual. Their poor pilots just keep apologizing for the airline's screwups,negative
140,RT @MissSaintXXX: I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,negative
141,@MissSaintXXX @AmericanAir that sucks. at least you are back in LA!!,negative
142,@MissSaintXXX @AmericanAir You're grounded!....sorry. #badjokeisbad,neutral
143,"RT @Panthers: Big thanks to @AmericanAir for sending our squad to Germany for the @the_USO tour! _x000D_
_x000D_
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>: https://t.co/ChC97YI9zU https://t.co/…",positive
144,@MissSaintXXX @AmericanAir pathetic as usual. Their poor pilots just keep apologizing for the airline's screwups,negative
145,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
146,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
147,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
148,No one ever fly @AmericanAir the worst experience of my life I was supposed to be home over 24 hours ago,negative
149,RT @MissSaintXXX: I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,negative
150,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
151,I landed over an hour ago whyyyyy am I still sitting on the plane? So over this @AmericanAir,negative
152,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
153,@miffSC @AmericanAir You coming through ORD?,neutral
154,Thank you @AmericanAir for treating me like crap and making me miss my flight. Can't wait to write reviews,negative
155,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
156,3 flights on @AmericanAir all delayed with 2 of them having us sit on the tarmac over an hour. Causing people 2 miss their flights and plans,negative
157,"RT @greennomad61: &gt;@AmericanAir REALLY? #Discrimination against #Blind ppl = Discrimination agst #GuideDog _x000D_
This is beyond wrong #News http…",negative
158,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
159,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
160,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
161,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
162,"@AmericanAir = rude, unprofessional, inconsiderate, bitter, and a true detriment to flying.",positive
163,A to Z - Manchester in American Way for @AmericanAir #WeAreTravelMedia https://t.co/I877TL7sXF https://t.co/pwAfsLjunV,neutral
164,@AmericanAir this isn't the first trip where I've had this problem with your company! I always select my seats at the time of purchase,negative
165,@AmericanAir more problems thanks for canceling my return w/o telling me! Didn't find out til late and now I'm bumped to the very back grp 8,positive
166,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
167,@AmericanAir I hope you're right. Looks like 1st class is full. At least I've got a great premium seat :) thanks for the good vibes though.,positive
168,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
169,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
170,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
171,@AmericanAir for a brief moment we moved nope still on the runway LAX American get it together #failure,negative
172,"RT @Panthers: Big thanks to @AmericanAir for sending our squad to Germany for the @the_USO tour! _x000D_
_x000D_
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>: https://t.co/ChC97YI9zU https://t.co/…",positive
173,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
174,@AmericanAir I pre-reserved seats on my flights from RNO to HSV and selected them for my return flight! Both times I was asked to re-select,neutral
175,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
176,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
177,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
178,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
179,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
180,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
181,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
182,Maybe @Delta or @AmericanAir will offer me a flight voucher since @united &amp; @AirCanada don't when they lose my carryon ? #incentive,negative
183,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
184,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
185,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
186,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
187,RT @dimitrivegas: For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
188,For more info... please visit this shortcut link! <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> @AmericanAir https://t.co/M8whrVEKMc,neutral
189,"@AmericanAir please take as real feedback. When the lane is closed, change the monitor. Several ppl stood here wait… https://t.co/eaHRoMNMtT",neutral
190,@AmericanAir just booked our big summer trip to HI! The EXP desk was great helping out. Can't wait!,positive
191,@americanair can you explain why a plane sits on the runway for 20min after a 4hr flt.  Good thing we pay Xtra for leg room. #fail,negative
192,Currently sitting here hour 6 of our delay from Phil to San Juan 3 day vacation ruined. Thanks @AmericanAir,negative
193,Why are we on the tarmac again for over an hour @AmericanAir ? Who schedules your flights that every single time we get delays.,negative
194,@AmericanAir Bought at airport b/c transax thru your call-in cntr had some sort of glitch. Was not my choice 2 purchase thru tix agent,negative
195,Been sitting on the tarmac @flyLAXairport longer than the flight from Vegas... #logistics @AmericanAir #said5minutes #stillwaiting,negative
196,@kc_joe @AmericanAir @SouthwestAir over an hour with the cust Serv counter and they got us the flights we needed.  Too bad phone CS couldn't,negative
197,"Hey @AmericanAir, as I expected @Delta economy comfort is nicer than the ""first"" I flew in to Vegas on Wednesday.",neutral
198,@AmericanAir thank you for Susan on just finished flight 4498 to DCA. She was wonderful.,positive
199,"Passing thru @DFWAirport after @AmericanAir flight cancelled. More of this..._x000D_
https://t.co/M6GG7oVwQf",negative
200,"@AmericanAir now stuck in Phoenix, may or may not get home today.",neutral
201,@AmericanAir what happened to the priority security lane @flyLAXairport,neutral
202,"RT @SecretFlying: HOT!! Boston to Barbados for only $173 roundtrip with @AmericanAir._x000D_
_x000D_
https://t.co/zLWwcZ9Jyo https://t.co/5Z5jQiLHYu",positive
203,@AmericanAir need help! On Friday you canceled a flight during your re-booking process you canceled the returned portion of the ticket.,neutral
204,I just entered for a chance to win a $5K @AmericanAir Vacations package. No purch. nec. #sweepstakes Enter at: https://t.co/ED1qKvM36X,neutral
205,@AmericanAir flight 1994 leaving PHL for ORD just had he longest and worst executed boarding process I've ever seen.. no hyperbole. #Flying,negative
206,@AmericanAir or im too irrelevant,negative
207,@americanair can a nigga get suspended?,neutral
208,@AmericanAir is the worst airline in the entire world.  It should not have the word America in it.  This is why I fly @Delta. Figure it out,negative
209,@AmericanAir it wasn't bad. Just boring lol. But I did get a little sleep.,negative
210,I fly @AmericanAir at least once a week. I have 2 flights booked next week &amp;&amp; wish I could change them to a diff airline.,neutral
211,@AmericanAir is it company policy to face away form the customers and practically ignore them? https://t.co/V456GVgc5w,negative
212,RT @airfarewatchdog: #Boston #BOS to #Bridgetown #BGI #Barbados $178 round-trip on @AmericanAir https://t.co/g6CoPqW4xX #airfare https://t.…,neutral
213,I guarantee that @AmericanAir will be filing bankruptcy soon with their customer service and none of the flights are ever on time.,negative
214,"@GrantDillon19 @_allisonjones @AmericanAir well grant, you're an engineer. Figure it out",neutral
215,@AmericanAir your food is blaaaah and charging so much on luggage for international flights not so cool.,neutral
216,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
217,Dear @AmericanAir you suck. I used to tell work to fly me american all the time but not anymore. Y'all are the worst.,positive
218,@AmericanAir get to the airport checkin intl rep was ridiculously rude and wouldn't help me ended up going to the counter. #laxtoPOS,negative
219,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
220,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
221,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
222,"@AmericanAir 5166, thankfully another captain stepped up to fly and we should be taking off in about 5 minutes according to the captain.",negative
223,Another travel favorite: land 30 min early. Wait on tarmac for 40 for gate. Then bags not out 40 minutes later. @AmericanAir @PHXSkyHarbor,negative
224,@AmericanAir Group Inc. (NASDAQ:AAL) plans to offer complimentary meals - Benchmark Monitor : https://t.co/admH59LjhZ,neutral
225,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
226,@AmericanAir one time I froze bc your plane was ice cold and the flight attendants said blankets r only for 1st class #LAXtoATL,negative
227,RT @spI6sh: @americanair Watch Out https://t.co/fApzrDFsg2,neutral
